Ticker,EventDate,CloseAtEvent,Close_Day5,Close_Day10,Close_Day15,Close_Day20,R5(%),R10(%),R15(%),R20(%)
AMD,2024-12-23,124.6,120.79,121.84,118.44,122.84,-3.06,-2.22,-4.94,-1.41
AMD,2025-03-04,100.75,96.76,103.51,114.81,102.78,-3.96,2.74,13.96,2.01
AMD,2025-04-09,96.84,88.29,94.47,96.65,101.7,-8.83,-2.45,-0.2,5.02
DOW,2021-06-21,50.56,50.39,49.61,50.23,46.96,-0.33,-1.87,-0.65,-7.11
DOW,2021-07-20,46.96,49.63,49.85,50.56,49.91,5.68,6.16,7.68,6.29
DOW,2021-09-22,45.59,47.63,46.28,46.08,48.5,4.48,1.53,1.08,6.38
DOW,2022-07-07,43.82,40.99,43.09,43.84,42.74,-6.47,-1.68,0.04,-2.47
DOW,2022-07-18,42.31,43.24,43.97,43.71,46.39,2.2,3.94,3.33,9.65
DOW,2022-09-28,38.26,39.12,37.21,38.33,40.76,2.24,-2.75,0.18,6.53
DOW,2023-03-20,44.69,45.34,48.24,48.99,49.51,1.44,7.94,9.62,10.77
DOW,2023-06-01,43.33,46.67,47.29,45.41,47.09,7.71,9.14,4.82,8.69
DOW,2024-07-08,49.14,49.58,50.65,49.19,47.47,0.89,3.07,0.11,-3.39
DOW,2024-10-28,47.25,45.21,43.63,41.69,43.25,-4.31,-7.66,-11.75,-8.46
DOW,2024-11-07,46.11,42.04,42.25,42.35,40.22,-8.81,-8.36,-8.15,-12.76
DOW,2024-11-21,42.25,42.35,40.22,39.14,38.26,0.23,-4.8,-7.36,-9.45
DOW,2024-12-09,40.93,38.42,38.29,38.44,37.28,-6.13,-6.46,-6.08,-8.92
DOW,2024-12-20,38.26,37.78,37.75,38.7,39.72,-1.25,-1.33,1.15,3.83
DOW,2025-04-09,29.13,26.8,29.04,29.79,28.53,-8.0,-0.33,2.24,-2.08
